#Organism Name,Organism Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
"Cordyceps fumosorosea","Eukaryota;Fungi;Ascomycetes",33.486,0,0,0,1
"Cordyceps militaris","Eukaryota;Fungi;Ascomycetes",32.2686,0,0,0,3
"Cordyceps pruinosa","Eukaryota;Fungi;Ascomycetes",36.697,0,0,0,1
"Cordyceps sp. RAO-2017","Eukaryota;Fungi;Ascomycetes",32.3021,0,0,0,1
"Cordyceps tenuipes","Eukaryota;Fungi;Ascomycetes",30.6264,0,0,0,1
"Corinectria fuckeliana","Eukaryota;Fungi;Ascomycetes",39.0147,0,0,0,1
"Corynespora cassiicola","Eukaryota;Fungi;Ascomycetes",44.8462,0,0,0,41
"Cryomyces antarcticus","Eukaryota;Fungi;Ascomycetes",24.3237,0,0,0,1
"Cryomyces minteri","Eukaryota;Fungi;Ascomycetes",44.1402,0,0,0,1
"Cryphonectria macrospora","Eukaryota;Fungi;Ascomycetes",38.7601,0,0,0,1
"Cryphonectria nitschkei","Eukaryota;Fungi;Ascomycetes",38.8266,0,0,0,2
"Cryphonectria parasitica","Eukaryota;Fungi;Ascomycetes",43.8704,0,0,0,2
"Cryphonectria radicalis","Eukaryota;Fungi;Ascomycetes",43.509,0,0,0,4
"Curvularia sp. IFB-Z10","Eukaryota;Fungi;Ascomycetes",33.0102,0,0,0,1
"Cyanodermella asteris","Eukaryota;Fungi;Ascomycetes",28.6675,0,0,0,1
"Cyberlindnera maclurae","Eukaryota;Fungi;Ascomycetes",10.9408,0,0,0,1
"Cyberlindnera xylosilytica","Eukaryota;Fungi;Ascomycetes",13.9523,0,0,0,1
"Cyphellophora europaea","Eukaryota;Fungi;Ascomycetes",28.7813,0,0,0,1
"Dactylellina haptotyla","Eukaryota;Fungi;Ascomycetes",39.5319,0,0,0,1
"Dactylonectria torresensis","Eukaryota;Fungi;Ascomycetes",65.3279,0,0,0,3
"Daldinia childiae","Eukaryota;Fungi;Ascomycetes",38.6526,0,0,0,1
"Daldinia eschscholtzii","Eukaryota;Fungi;Ascomycetes",35.7628,0,0,0,3
"Daldinia sp. EC12","Eukaryota;Fungi;Ascomycetes",37.551,0,0,0,1
"Danielozyma ontarioensis","Eukaryota;Fungi;Ascomycetes",10.7017,0,0,0,1
"Davidsoniella australis","Eukaryota;Fungi;Ascomycetes",34.1273,0,0,0,1
"Deakozyma indianensis","Eukaryota;Fungi;Ascomycetes",11.7529,0,0,0,1
"Debaryomyces maramus","Eukaryota;Fungi;Ascomycetes",11.1061,0,0,0,1
"Debaryomyces prosopidis","Eukaryota;Fungi;Ascomycetes",12.9281,0,0,0,1
"Decorospora gaudefroyi","Eukaryota;Fungi;Ascomycetes",30.5594,0,0,0,1
"Delitschia confertaspora","Eukaryota;Fungi;Ascomycetes",31.1591,0,0,0,1
"Delphinella strobiligena","Eukaryota;Fungi;Ascomycetes",29.2091,0,0,0,1
"Diaporthe helianthi","Eukaryota;Fungi;Ascomycetes",63.672,0,0,0,1
"Dicyma pulvinata","Eukaryota;Fungi;Ascomycetes",46.8456,0,0,0,1
"Diddensiella caesifluorescens","Eukaryota;Fungi;Ascomycetes",12.0079,0,0,0,1
"Didymobotryum rigidum","Eukaryota;Fungi;Ascomycetes",41.7297,0,0,0,1
"Diplocarpon rosae","Eukaryota;Fungi;Ascomycetes",31.0585,0,0,0,3
"Diplodia corticola","Eukaryota;Fungi;Ascomycetes",34.9861,0,0,0,1
"Diplodia scrobiculata","Eukaryota;Fungi;Ascomycetes",34.9311,0,0,0,1
"Diplodia seriata","Eukaryota;Fungi;Ascomycetes",37.2687,0,0,0,2
"Dipodascus albidus","Eukaryota;Fungi;Ascomycetes",16.2637,0,0,0,1
"Dipodascus geniculatus","Eukaryota;Fungi;Ascomycetes",15.1994,0,0,0,1
"Dissoconium aciculare","Eukaryota;Fungi;Ascomycetes",26.5372,0,0,0,1
"Dothidotthia symphoricarpi","Eukaryota;Fungi;Ascomycetes",34.4335,0,0,0,1
"Dothistroma pini","Eukaryota;Fungi;Ascomycetes",29.9846,0,0,0,1
"Dothistroma septosporum","Eukaryota;Fungi;Ascomycetes",30.2094,0,0,0,19
"Drechmeria coniospora","Eukaryota;Fungi;Ascomycetes",32.831,3,0,0,2
"Drechslerella stenobrocha","Eukaryota;Fungi;Ascomycetes",21.1745,0,0,0,1
"Echinosphaeria canescens","Eukaryota;Fungi;Ascomycetes",678.199,0,0,0,1
"Elaphomyces granulatus","Eukaryota;Fungi;Ascomycetes",54.1536,0,0,0,1
"Elsinoe ampelina","Eukaryota;Fungi;Ascomycetes",28.2968,0,0,0,2
"Elsinoe australis","Eukaryota;Fungi;Ascomycetes",23.7931,0,0,0,10
"Elsinoe fawcettii","Eukaryota;Fungi;Ascomycetes",26.3259,0,0,0,2
"Emmonsia sp. CAC-2015a","Eukaryota;Fungi;Ascomycetes",29.7089,0,0,0,1
"Endocarpon pusillum","Eukaryota;Fungi;Ascomycetes",37.1306,0,0,0,2
"Endoconidiophora laricicola","Eukaryota;Fungi;Ascomycetes",32.6923,0,0,0,1
"Epichloe amarillans","Eukaryota;Fungi;Ascomycetes",38.0624,0,0,0,2
"Epichloe baconii","Eukaryota;Fungi;Ascomycetes",38.0853,0,0,0,1
"Epichloe brachyelytri","Eukaryota;Fungi;Ascomycetes",44.2319,0,0,0,1
